,SOH labels,SOH estimations,error
0,0.8970664290322581,0.8968603225806452,0.00020610645161289742
1,0.8848683019354839,0.8698230322580646,0.01504526967741937
2,0.8750107870967743,0.8786723225806452,0.003661535483870937
3,0.9209070793548386,0.907927870967742,0.012979208387096652
4,0.8065039948387096,0.8057827741935484,0.0007212206451612246
5,0.8731379716129032,0.844870064516129,0.02826790709677418
6,0.8642321490322581,0.8182532258064517,0.045978923225806434
7,0.8801809638709677,0.8849912903225807,0.004810326451613056
8,0.8569900148387097,0.849197806451613,0.007792208387096711
9,0.8625842593548388,0.8953913548387097,0.03280709548387084
10,0.8649330825806453,0.8665767741935484,0.0016436916129031198
11,0.9388439909677421,0.9040249032258065,0.03481908774193554
12,0.9005615606451614,0.8989462580645161,0.0016153025806452392
13,0.8748842503225807,0.8193191612903227,0.055565089032257986
14,0.8516052335483871,0.8507044516129033,0.0009007819354838187
15,0.8572221219354839,0.8680952258064515,0.010873103870967626
16,0.9159353922580644,0.9098134838709676,0.006121908387096808
17,0.8645522206451612,0.8522385161290322,0.01231370451612901
18,0.8968990148387096,0.8852187741935484,0.011680240645161155
19,0.8733848399999999,0.8675,0.005884839999999891
20,0.8927892367741936,0.8720871612903225,0.020702075483871152
21,0.9976254270967742,0.9832241935483872,0.01440123354838696
22,0.9123376451612905,0.8834810322580645,0.028856612903225942
23,0.8909747270967743,0.8777363225806452,0.01323840451612912
24,0.8630668974193548,0.8726136129032258,0.009546715483870982
25,0.9410475651612903,0.9709911612903225,0.02994359612903219
26,0.8702731212903225,0.8808447096774195,0.01057158838709693
27,0.9008050625806451,0.8909427096774194,0.00986235290322568
28,0.8940360058064516,0.8876118064516129,0.006424199354838733
29,0.8400642232258064,0.8795687741935483,0.03950455096774186
30,0.8478124335483871,0.8497796774193548,0.0019672438709676943
31,0.8910507993548388,0.9355445161290322,0.04449371677419345
32,0.8986925296774194,0.8636346451612903,0.03505788451612912
33,0.8368173612903226,0.8425801935483871,0.00576283225806451
34,0.9135587045161291,0.8663749677419355,0.04718373677419363
35,0.8979627116129032,0.9016924516129031,0.003729739999999926
36,0.8519424625806451,0.852772064516129,0.0008296019354838702
37,0.8702421941935483,0.8120873548387098,0.05815483935483856
38,0.8682071161290322,0.8644834193548387,0.0037236967741934857
39,0.9240858109677419,0.8707223225806452,0.0533634883870967
40,0.8115215090322581,0.8673662580645161,0.055844749032258
41,0.88478482,0.8705412903225807,0.014243529677419375
