,ys,ys_est_RNN,ys_est_LSTM,ys_est_FNN
250,133.3068448,136.38698,134.5405,135.47238
251,131.9755506,131.62134,132.44081,137.61642
252,145.7511405,144.92586,140.1269,136.86029
253,121.1978029,122.860085,131.93713,134.25256
254,134.6427957,136.34633,137.5,138.71117
255,137.5124826,137.9309,138.60847,139.66689
256,129.6454532,128.13594,134.73561,134.3108
257,139.3253987,138.20697,138.90773,137.64587
258,146.7760901,138.27466,136.57715,136.74242
259,135.5488475,135.1017,133.44344,141.77783
260,138.8751716,141.24922,136.1428,131.01035
261,131.091442,120.59163,131.07143,126.15579
262,135.4361737,136.81462,133.67139,135.53694
263,128.0725135,144.1725,139.22858,137.12328
264,132.010647,128.50096,130.04317,129.94107
265,131.1040294,141.97327,136.60854,131.42975
266,139.5254271,141.34268,139.887,139.878
267,132.0815937,132.74197,132.28723,135.80307
268,130.0995482,124.11522,136.72586,138.97107
269,136.2264247,135.74701,135.2747,136.23286
270,125.4690244,125.16388,128.21863,126.22374
271,145.8828969,146.32025,140.25539,138.30421
272,133.1955502,132.42537,133.20062,136.0638
273,136.2094378,135.89935,137.65874,138.6434
274,144.2168928,147.14049,140.47133,138.77382
275,144.5372467,143.7881,138.52672,140.19731
276,136.9490202,132.44476,133.70291,135.28311
277,137.9482222,134.86328,131.58539,135.49728
278,145.5852653,146.07068,141.3346,138.31375
279,135.3291997,134.31158,138.09906,137.04568
280,133.5120228,136.3349,138.2039,137.03659
281,142.8897298,139.60681,139.30832,136.61458
282,144.5819473,140.93118,139.12662,139.46866
283,134.5781092,140.15067,139.56178,138.61946
284,132.1882282,128.91266,135.02997,133.45695
285,141.6570323,140.98845,136.8279,133.19507
286,133.9467306,137.24458,134.55508,136.13326
287,129.1790824,141.52164,141.41078,138.7576
288,136.022133,135.9097,136.49258,136.52158
289,136.5839825,135.04968,133.1614,135.77618
290,126.5712011,131.26411,132.89293,135.20717
291,139.1119439,140.21599,138.90799,136.70944
292,140.3187068,134.96786,134.24606,128.09087
293,137.2243523,136.26253,135.71274,134.5074
294,133.6817869,134.60834,135.14084,133.33168
295,126.2069722,126.90847,134.94446,133.38713
296,136.8099267,136.02956,130.89444,134.44487
297,132.0315158,139.4051,138.84335,137.66513
298,131.8953392,138.52446,138.12505,136.04453
299,144.9062817,145.07149,136.03215,136.61493
300,136.9451036,133.91089,134.44289,136.65273
301,124.1965194,131.45111,132.98572,135.22568
302,134.3423721,136.2513,133.5172,133.72299
303,130.4593725,131.85301,133.63571,135.16139
304,117.7983438,133.72015,135.48616,134.9088
305,135.9965351,137.46858,133.94684,133.0294
306,129.1193333,132.0703,132.97742,135.57436
307,143.2970852,142.62263,138.6143,136.69455
308,131.7713477,132.44981,130.04852,126.42692
309,138.163103,137.10466,137.59218,136.77966
310,136.4015348,127.17149,134.36836,132.44165
311,132.3768382,136.489,134.60121,135.35442
312,126.1187465,136.20435,133.51591,135.32216
313,128.882611,132.78688,135.99013,138.47014
314,118.1505374,137.01637,134.27982,136.45966
315,121.3000296,120.09427,132.07266,133.80557
316,130.4497333,130.49893,134.51044,134.95218
317,134.6782424,133.20557,138.58395,138.62495
318,131.7164853,136.71675,131.11852,129.52296
319,138.3504286,138.61423,139.31267,136.1856
320,137.3248709,133.15831,135.19954,133.7616
321,136.3709447,137.14197,139.3164,139.92523
322,126.7215745,138.31209,134.89125,137.8833
323,140.5091239,144.12686,140.24173,140.28009
324,150.806034,145.73224,139.06804,138.21751
325,140.480753,140.44821,134.8051,134.2283
326,130.1639548,137.91151,138.67488,136.35298
327,141.8223088,143.23808,139.73825,138.50224
328,130.2064587,128.41089,132.40561,135.81287
329,129.0670997,134.72858,134.93625,135.53629
330,135.5219595,135.84639,132.55856,135.11241
331,149.3269377,147.19572,140.92825,137.19908
332,130.7305021,124.6339,133.89883,128.23013
333,139.030531,134.99966,132.01532,135.88715
334,141.8938144,145.61061,140.2765,138.87236
335,143.0592559,149.22931,139.70265,141.02808
336,149.9495122,135.93425,134.28958,132.36305
337,145.7252475,146.70514,140.12593,138.88048
338,147.3938006,138.60675,139.85164,139.00948
339,127.403477,132.23,132.97961,136.59824
340,133.0882671,132.63632,127.03954,123.76948
341,126.0648975,124.77425,128.19604,126.21811
342,141.1881481,141.7058,139.9809,137.81418
343,137.9930488,135.7979,141.00255,141.1044
344,126.8409077,130.75076,126.550095,127.00875
345,149.4300566,142.3333,138.45633,139.54825
346,137.2378596,137.06313,127.3932,131.99982
347,142.456165,134.58994,140.80042,140.09082
348,148.1779701,141.85051,141.57672,139.0085
349,131.2186725,135.2537,133.59889,135.58493
350,129.2281826,128.65817,132.89449,135.77292
351,135.6010713,138.77997,140.21736,138.07916
352,136.2941875,135.86275,133.80525,136.63214
353,135.519415,133.75116,134.72035,133.46127
354,135.4621276,144.50534,138.44514,136.81223
355,139.1882302,140.25905,138.48882,138.74046
356,130.4838942,135.5826,135.38556,133.08948
357,135.7280094,135.05956,133.17003,135.03232
358,136.8736023,137.76666,137.02112,135.5994
359,132.2141016,136.41815,128.89496,137.92874
360,134.2168928,136.50168,133.28076,134.903
361,141.1825397,138.94727,140.13632,137.49455
362,131.8861272,131.48097,135.24316,133.83469
363,147.9536819,146.99333,141.2215,139.73831
364,148.4036111,145.52065,141.79459,138.84656
365,138.9593737,139.27266,140.80046,137.58328
366,132.9954983,134.50475,139.69003,137.67676
367,144.6125646,141.47243,138.12839,140.9089
368,142.8316972,142.2482,139.47891,137.84372
369,140.9982914,141.6861,138.07266,137.23254
370,132.7635468,132.17305,131.35739,133.0622
371,143.0847844,139.87401,134.93227,134.60776
372,132.2340438,132.25743,139.57535,137.51727
373,143.2018613,141.83252,138.23157,135.46158
374,137.6286795,138.56819,138.9421,139.36302
375,136.8230608,138.81898,137.93417,140.37732
376,137.1552053,136.00995,134.85028,132.77902
377,136.2647082,136.26524,138.34222,139.88092
378,144.0695132,137.80719,139.20944,138.89928
379,147.0602605,148.23508,141.26259,137.92831
380,131.4876016,136.03464,135.51509,132.27635
381,134.9559304,134.89331,134.03665,135.13048
382,139.7279658,138.90054,135.45424,134.86488
383,135.4190797,137.60236,133.52118,135.77512
384,148.0269172,145.39046,140.62868,139.87659
385,149.3368022,140.93176,140.10905,138.45966
386,133.338693,139.02621,140.74767,138.77444
387,134.1316263,142.32838,138.1406,139.54768
388,119.1140754,128.54475,132.44879,132.69765
389,138.7163657,134.07378,132.98418,134.6852
390,126.8205066,133.17532,138.92471,140.10852
391,139.3292605,140.4233,135.01994,135.9653
392,135.9015314,135.23103,133.92694,132.17424
393,123.599691,125.48089,136.21028,135.49037
394,135.7929794,135.71886,139.12804,140.15857
395,128.0199459,139.8147,139.43733,136.65442
396,136.5016477,141.16699,129.97914,122.64687
397,133.7785609,133.29836,133.93309,134.95526
398,143.5344706,144.63522,140.43735,138.8086
399,131.3384273,137.77386,133.30998,130.49684
400,152.1512227,146.9778,139.76103,138.24298
401,129.0712729,131.48108,136.19633,135.73282
402,135.9475018,133.87209,132.82188,133.93861
403,140.5082562,140.90585,137.91257,141.03311
404,148.578869,130.26419,134.53596,133.89423
405,132.8141835,134.99945,133.76382,136.79648
406,137.2594255,139.87373,132.46338,134.21109
407,118.7647739,128.12663,130.37947,132.42723
408,137.3441329,136.50705,136.00597,136.10594
409,145.2150641,145.75764,139.46881,140.51433
410,131.6875675,137.6733,138.89983,139.40762
411,154.5255398,147.67912,135.24896,134.44542
412,137.1817358,137.29202,137.283,139.16132
413,155.2765812,144.76198,139.82094,140.00629
414,140.4541612,140.77295,139.43925,136.01276
415,139.7209835,138.65009,134.39476,134.54587
416,134.1071089,134.46925,134.21953,132.39362
417,138.5107368,137.28352,131.75972,132.10994
418,128.2320022,124.47574,134.44156,131.98253
419,137.5046205,138.10402,138.97159,138.89389
420,116.2645089,133.39745,131.22417,130.90082
421,146.8831915,145.98376,132.94728,132.61597
422,131.7359639,132.51428,135.98326,135.92418
423,139.088545,140.28117,135.99844,133.42265
424,137.1449275,135.77608,135.52022,133.79352
425,137.2077326,136.48563,139.35806,136.71565
426,120.8492145,126.66845,134.78568,134.77237
427,128.9126389,136.05879,134.9956,133.51997
428,137.0350489,138.18767,134.33018,136.56851
429,133.0354743,132.9115,138.3769,137.0145
430,139.2695019,139.26472,138.79971,139.74338
431,140.9976852,138.54591,139.5456,139.62428
432,145.6680611,139.26833,138.99544,135.9779
433,133.8729471,136.56367,139.11087,135.9394
434,138.1115323,137.11063,134.89851,137.85065
435,133.7276786,128.18332,135.11647,134.68048
436,125.9250563,139.09454,132.55904,133.20459
437,127.2349092,137.69711,137.60675,139.55316
438,129.9366448,129.36887,137.32288,135.5949
439,132.3234494,132.64622,135.63,134.40079
440,147.0224681,147.14236,140.92892,139.69489
441,123.2427895,130.54306,129.01878,125.107765
442,133.425791,132.18193,132.84734,133.0219
443,131.0785727,134.98894,139.6513,135.92984
444,139.1244476,132.6467,134.26077,133.14952
445,138.9414216,140.04915,138.80527,139.65341
446,121.7593747,132.73853,133.33424,129.6706
447,146.9644136,146.09119,136.33261,136.38748
448,129.3063639,130.78429,132.3555,131.2453
449,139.3361204,131.21767,134.21536,133.87526
450,142.6834936,138.63217,138.32678,138.78474
451,129.8976523,135.42693,135.66132,139.08264
452,133.6457139,132.29967,131.79277,137.83264
453,136.2490751,136.98369,132.51144,134.9381
454,143.1029919,144.61064,138.42891,139.07509
455,141.0699766,139.67659,133.45349,134.175
456,131.7942067,131.7116,133.42229,135.0335
457,141.3910417,126.10245,132.69302,126.27054
458,137.1017433,134.05182,132.92285,134.4879
459,127.5964576,127.63737,140.55238,136.79802
460,127.666234,131.00914,133.84941,133.43524
461,144.2861753,143.70328,139.8833,137.8992
462,138.8508883,135.89584,135.80719,138.30647
463,135.1875,133.73297,139.33527,139.55276
464,131.6482778,132.88771,132.43147,135.59256
465,125.2665409,132.72377,134.9922,133.62012
466,123.6308938,136.44093,132.09525,135.98878
467,130.2985423,131.1421,130.80695,129.88826
468,138.4183502,137.4598,134.39545,135.34326
469,132.39974,132.62383,135.75713,137.40927
470,135.1345481,136.07506,138.78642,137.4216
471,135.0130309,137.43913,137.20119,138.48537
472,141.0184615,138.53928,133.83893,132.93103
473,142.226717,141.99757,138.86708,136.49911
474,134.9677315,130.00731,137.7131,137.03664
475,145.5896075,138.1985,134.87051,133.66814
476,153.0376179,148.61516,138.93353,138.36623
477,137.6702454,140.15149,138.32495,138.71552
478,136.1152239,136.66774,132.7183,134.97763
479,125.2815789,123.17342,135.45566,135.66232
480,133.4114251,132.72556,134.83989,132.36006
481,142.6144164,142.09781,136.60861,139.01471
482,142.2888653,139.8318,137.01718,137.7004
483,141.9276478,136.46002,138.52284,140.06346
484,130.0836544,127.73197,132.17935,133.15202
485,137.8234162,137.28993,133.72768,131.87288
486,146.4767625,137.5496,140.71202,137.61453
487,139.7767076,138.27863,134.20827,132.91666
488,130.548856,130.88287,130.39558,129.686
489,148.9932318,145.23825,140.67699,139.12543
490,141.6750136,141.55037,140.60367,140.53177
491,134.5435268,132.79832,136.29791,138.73201
492,152.7464934,151.70488,139.8897,138.90747
493,137.6269096,136.50769,137.31285,138.31017
494,136.8486111,132.92723,136.1782,132.18169
495,140.3182862,139.1349,138.5819,139.62357
496,129.6394631,134.07675,135.30989,133.7769
497,129.0905725,129.91325,136.43684,137.87436
498,137.8494703,138.63283,136.12288,135.86118
499,136.3658872,144.25337,137.1385,139.46292
500,121.6165865,137.81613,135.86722,134.2594
501,127.5131772,128.0793,131.15677,128.44537
502,114.5456204,130.46458,137.72104,138.87646
503,135.403159,135.11177,135.00777,133.87332
504,138.1272084,138.91373,130.65433,131.97319
505,135.9684959,133.71353,134.8372,135.0095
506,151.7045122,145.3118,138.01244,137.7612
507,140.132037,140.4013,135.92918,133.63673
508,130.5241595,134.72192,134.45036,131.83727
509,133.3992551,137.60548,133.46365,126.381226
510,146.1624527,142.86629,138.3404,137.8005
511,139.6004902,136.05632,134.21022,136.46387
512,138.0332457,136.91585,138.11198,134.69983
513,136.3964626,134.75189,134.79588,137.22597
514,136.9716149,136.3289,137.29596,136.81737
515,141.9322222,142.54941,140.40674,138.10075
516,131.4822988,137.07994,137.88698,136.17068
517,139.2427553,141.27109,140.62953,131.3483
518,139.9126678,136.25166,135.42645,139.10332
519,138.0764144,137.80026,137.23372,137.22926
520,134.0349367,131.19363,136.86296,133.59673
521,130.6431587,132.34088,133.07112,134.97876
522,138.0480324,137.6562,140.00987,140.43779
523,131.8359076,133.06694,132.55444,128.74142
524,145.8696066,139.08261,136.97087,139.9156
525,123.2506299,128.29495,139.8695,135.95395
526,141.8555793,141.30301,139.52007,140.06262
527,133.2041592,130.92693,135.22484,139.0793
528,137.8066825,136.18317,134.39241,135.45589
529,129.4044707,131.22488,133.82124,136.98729
530,133.9393412,136.5506,133.90703,135.37402
531,136.4467031,132.51602,135.55301,136.8321
532,141.6190819,135.71481,136.86067,138.02258
533,137.3290068,136.711,138.3884,139.11229
534,120.7728218,134.62,137.76022,137.08855
535,139.9709239,139.81496,134.466,135.74895
536,135.5252747,137.8841,137.42717,132.78714
537,138.1765198,140.97372,139.08379,137.05965
538,146.2099645,146.42175,140.51402,139.58598
539,129.1539427,129.88466,135.53865,133.50697
540,139.3823453,140.1463,137.45958,140.07292
541,141.6385892,136.02168,137.19083,135.7883
542,141.8544897,142.43228,139.70248,137.22937
543,144.5167073,148.47041,134.60367,131.67853
544,131.6370935,145.4261,139.41747,138.0849
545,146.2874393,146.64027,136.27324,131.05276
546,122.2770705,121.48475,131.74818,128.05063
547,132.7326304,133.22287,132.45857,135.42856
548,130.5097571,142.19151,131.78139,139.87831
549,115.1273494,124.32165,137.29744,131.17949
550,123.2303835,127.497925,135.42236,133.1669
551,143.3124796,140.74876,137.52461,140.81311
552,134.6123321,134.55847,136.24553,133.1656
553,126.9336859,135.89117,132.7368,136.85913
554,131.1286168,134.54013,134.60951,137.3903
555,121.6732274,138.89906,133.89384,136.24304
556,143.310468,134.2081,133.4756,125.425896
557,128.4342998,132.37093,133.10762,132.44392
558,134.4735185,144.65073,139.73651,138.35196
559,128.2164966,132.04826,134.31772,134.29276
560,139.4744524,136.47487,137.39265,136.92505
561,140.0658322,138.85812,138.54668,139.36626
562,134.1517862,132.58745,131.87405,134.15549
563,134.5198263,134.33304,133.71109,135.87764
564,127.9343879,133.51228,132.53023,135.29573
565,133.4377162,133.18472,134.86116,138.8973
566,121.063463,131.5502,139.35942,138.2604
567,141.7551133,139.34782,138.9591,139.77812
