Unnamed: 0,capacity,days,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
809,148.4639614,1435.511725,81541.8,26.18243785,10.81634545,10.84445816,5.557552318,20.61294594,48.808,49.0,1.647766974,15,123.0608,123.8,4.242,33,33.664
810,143.1679396,1452.466111,82664.3,25.36854034,10.82267792,10.70946132,5.560073961,21.38184207,49.20634921,50.0,2.017060018,13,122.0079365,123.6,4.224,32,32.84126984
811,142.309333,1528.185671,94344.6,33.02978339,11.00817229,10.95025136,5.638023518,21.54094414,46.89473684,47.0,2.237512799,14,124.9614035,126.4,4.249,37,37.0
812,143.6200926,1533.279398,95174.3,36.02479339,10.90145628,10.86166099,5.571278764,20.97085298,48.07692308,48.5,2.155905609,14,125.0980769,126.4,4.214,39,39.0
813,120.3798957,1547.335868,98035.1,35.24512987,10.22500146,9.982400227,5.47774946,20.2466617,50.38181818,50.0,1.803944255,12,124.94,126.1,4.207,37,37.16363636
814,143.5491071,1562.445012,98951.0,30.36750484,11.05167889,10.97680375,5.533218908,21.34597257,50.03225806,50.0,2.462412546,16,125.3209677,126.4,4.22,34,34.79032258
815,138.9795789,1592.294074,103957.0,23.99092088,10.82452708,10.75914501,5.664458509,21.4646844,51.38709677,52.0,2.64181535,14,125.1806452,126.3,4.215,27,29.24193548
816,136.8857055,1594.300139,104120.0,25.51348315,8.855093043,8.912343078,4.234229135,16.37561464,49.37931034,49.0,2.412807681,13,107.6793103,126.0,4.223,23,24.20689655
817,138.1765198,1602.093252,105473.3,27.46748682,10.87003542,10.78894686,5.634785696,21.4328573,49.32258065,49.0,2.544913926,14,125.7564516,126.8,4.209,29,31.11290323
818,135.8018423,1658.328426,111235.2,22.52407002,7.541169192,7.987010662,4.651734032,15.67088033,45.05555556,45.0,4.377622671,22,104.5092593,125.7,4.212,22,23.85185185
819,141.5542929,921.2355903,9754.3,24.43864013,9.023209471,8.446735853,5.242409518,23.61984503,34.90163934,36.0,3.134707443,12,112.4606557,120.5,4.22,24,25.68852459
820,144.7823107,922.3070949,9926.5,25.51676829,11.26883629,11.19727507,5.802134298,21.98897874,36.97014925,37.0,1.381867104,11,118.3402985,119.2,4.22,27,28.35820896
821,136.0999118,947.2463542,12432.5,16.7410817,10.67345496,11.34814047,4.940481399,18.29591459,30.92631579,31.0,4.165629049,20,73.68105263,95.8,4.22,16,18.34736842
822,136.7934181,947.2463542,12432.5,18.15629229,10.67345496,11.34814047,4.940481399,18.29591459,30.92631579,31.0,4.165629049,20,73.68105263,95.8,4.22,16,18.34736842
823,137.3110765,947.2463542,12432.5,18.26949384,10.67345496,11.34814047,4.940481399,18.29591459,30.92631579,31.0,4.165629049,20,73.68105263,95.8,4.22,16,18.34736842
824,141.5942693,952.2458449,12952.4,19.45467836,9.626825173,9.307068838,4.623859543,20.29073577,28.74712644,27.0,3.006576664,9,79.78965517,97.6,4.22,17,19.65517241
825,147.7664251,959.1827778,13673.0,23.23371105,11.22864039,11.17474325,5.740737433,21.65898198,36.08823529,36.0,1.121124621,8,115.4558824,116.2,4.219,26,27.70588235
826,139.6079827,972.2547801,14736.1,23.75792812,10.4891829,10.4268394,5.649815351,20.57108436,39.71641791,40.0,4.124213069,19,113.8208955,122.6,4.222,25,26.44776119
827,139.2147202,972.2547801,14736.1,18.62868633,10.4891829,10.4268394,5.649815351,20.57108436,39.71641791,40.0,4.124213069,19,113.8208955,122.6,4.222,25,26.44776119
828,141.741862,988.4465046,17159.9,22.43669872,10.76691925,10.7711398,5.792984914,20.90974419,31.85897436,31.0,2.615164646,11,92.37820513,103.0,4.22,20,22.74358974
829,140.4831161,990.3118866,17425.5,25.34398496,10.03214621,9.870409502,4.701042345,18.67434756,32.55072464,31.0,2.678612186,11,100.7347826,115.6,4.219,22,24.44927536
830,148.0106911,991.2565046,17618.8,27.58047945,11.03901754,10.98391524,5.688565023,21.41387497,35.85294118,36.0,1.263337153,9,114.8705882,115.7,4.219,28,28.97058824
831,144.584526,993.6522917,17844.1,22.8191906,10.59257484,11.02595141,4.967547854,18.52758455,32.02777778,31.0,2.75868438,16,97.00138889,115.1,4.22,22,23.83333333
832,137.7137273,993.6522917,17844.1,24.49365942,10.59257484,11.02595141,4.967547854,18.52758455,32.02777778,31.0,2.75868438,16,97.00138889,115.1,4.22,22,23.83333333
833,145.0546746,995.2461111,17970.5,21.49101796,10.65873475,11.22212601,5.142684661,18.72200878,32.46575342,31.0,3.448574022,16,95.64520548,115.6,4.22,21,23.50684932
834,142.954887,995.2461111,17970.5,21.74516129,10.65873475,11.22212601,5.142684661,18.72200878,32.46575342,31.0,3.448574022,16,95.64520548,115.6,4.22,21,23.50684932
835,140.8929012,995.2461111,17970.5,22.65648855,10.65873475,11.22212601,5.142684661,18.72200878,32.46575342,31.0,3.448574022,16,95.64520548,115.6,4.22,21,23.50684932
836,141.0999109,1005.275625,18908.6,22.69405941,10.4149631,11.23020752,5.11924026,18.08132913,28.89583333,28.0,2.627891926,18,72.24895833,95.6,4.22,15,18.11458333
837,144.148261,1007.628519,19350.9,22.05084746,9.835905402,9.642076656,5.660733622,19.93460745,30.74509804,30.0,4.536748154,27,65.70294118,93.8,4.22,14,16.80392157
838,142.9403761,1007.628519,19350.9,22.6,9.835905402,9.642076656,5.660733622,19.93460745,30.74509804,30.0,4.536748154,27,65.70294118,93.8,4.22,14,16.80392157
839,138.8429855,1012.203206,19827.0,24.78472222,10.29228819,10.50759886,4.870965169,18.39628705,32.6,31.0,2.727636339,12,99.03571429,115.8,4.22,22,24.0
840,135.4621276,1014.077778,19980.1,22.22986577,8.989638942,8.617810986,4.68281764,18.99551487,33.515625,35.0,2.592008075,10,103.496875,115.5,4.22,23,24.9375
841,142.82747,1014.077778,19980.1,23.76303318,8.989638942,8.617810986,4.68281764,18.99551487,33.515625,35.0,2.592008075,10,103.496875,115.5,4.22,23,24.9375
842,140.1068376,1088.239363,35883.9,25.64938489,9.567951702,9.759497738,4.785391602,17.56743167,37.31884058,36.0,2.380432025,11,96.9057971,114.0,4.22,23,24.28985507
843,145.6835828,1107.70559,41750.4,29.00349162,11.775008,11.8066322,5.241622695,20.96336104,41.48571429,42.0,2.240808892,9,109.38,118.6,4.224,32,33.38571429
844,143.6866029,1114.229907,43325.3,29.71284404,10.82389808,10.74217189,5.551554976,20.90156079,44.07692308,44.0,1.491593802,9,116.7153846,117.7,4.219,33,33.0
845,146.7851111,1117.219803,44145.7,29.72564103,10.88052808,10.77731685,5.551222236,21.22277713,44.83870968,45.0,1.648005132,11,122.9677419,124.0,4.22,34,34.35483871
846,139.3115758,1120.30625,44471.7,28.29697525,11.11053152,10.87077882,5.807840729,22.84883639,44.828125,45.0,1.51610817,10,122.3859375,123.3,4.22,30,31.59375
847,139.8238857,1120.30625,44471.7,28.60014948,11.11053152,10.87077882,5.807840729,22.84883639,44.828125,45.0,1.51610817,10,122.3859375,123.3,4.22,30,31.59375
848,142.3701458,1124.155382,45502.3,29.99687011,9.801692984,9.624594171,5.490453343,19.80523662,46.79661017,46.0,2.915648377,18,121.9237288,123.5,4.22,31,32.37288136
849,141.1259137,1126.685208,45955.3,29.21066908,10.40301524,10.30251215,5.656193739,20.69817525,45.19354839,45.0,2.435216819,21,120.7354839,124.5,4.22,31,32.46774194
850,143.1421593,1139.886574,50461.8,33.53193277,10.9190395,10.82841237,5.588957577,21.17826922,46.69354839,47.0,1.737524283,11,122.6806452,123.6,4.219,38,37.56451613
851,139.6423011,1141.201991,50603.2,30.06995413,10.88256998,10.78631791,5.565329919,21.09561273,48.01612903,48.0,1.396908285,11,122.7145161,123.8,4.22,34,34.0
852,139.0870575,1174.009734,59304.0,31.37620579,10.70960843,10.52911219,5.495061837,20.9080531,50.06557377,50.0,1.239630464,9,122.3655738,123.5,4.221,34,34.0
853,139.0956237,1174.009734,59304.0,31.3592233,10.70960843,10.52911219,5.495061837,20.9080531,50.06557377,50.0,1.239630464,9,122.3655738,123.5,4.221,34,34.0
