,x,SOC (%)
531,531,65
532,532,68
533,533,71
534,534,73
535,535,76
536,536,78
537,537,79
538,538,81
539,539,82
540,540,84
541,541,85
542,542,86
543,543,87
544,544,88
545,545,88
546,546,89
547,547,90
548,548,91
549,549,92
550,550,93
551,551,94
552,552,95
553,553,96
554,554,96
555,555,97
556,556,97
557,557,98
558,558,98
559,559,69
560,560,72
561,561,74
562,562,76
563,563,78
564,564,80
565,565,82
566,566,83
567,567,84
568,568,86
569,569,87
570,570,87
571,571,88
572,572,89
573,573,90
574,574,91
575,575,91
576,576,92
577,577,93
578,578,94
579,579,95
580,580,96
581,581,96
582,582,97
583,583,97
584,584,97
585,585,98
586,586,98
587,587,98
588,588,98
589,589,99
590,590,39
591,591,42
592,592,44
593,593,47
594,594,49
595,595,52
596,596,54
597,597,57
598,598,59
599,599,61
600,600,64
601,601,66
602,602,69
603,603,72
604,604,74
605,605,76
606,606,78
607,607,80
608,608,81
609,609,83
610,610,84
611,611,85
612,612,86
613,613,87
614,614,87
615,615,88
616,616,89
617,617,90
618,618,91
619,619,92
620,620,93
621,621,94
622,622,95
623,623,96
624,624,96
625,625,96
626,626,97
627,627,97
628,628,97
629,629,98
630,630,98
631,631,98
632,632,62
633,633,64
634,634,67
635,635,70
636,636,72
637,637,75
638,638,77
639,639,79
640,640,81
641,641,82
642,642,84
643,643,85
644,644,86
645,645,87
646,646,88
647,647,88
648,648,89
649,649,90
650,650,91
651,651,92
652,652,93
653,653,94
654,654,95
655,655,95
656,656,96
657,657,96
658,658,97
659,659,97
660,660,98
661,661,98
662,662,98
663,663,98
664,664,99
665,665,99
666,666,56
667,667,58
668,668,61
669,669,63
670,670,66
671,671,68
672,672,71
673,673,74
674,674,76
675,675,78
676,676,79
677,677,81
678,678,82
679,679,84
680,680,85
681,681,86
682,682,87
683,683,87
684,684,88
685,685,89
686,686,90
687,687,91
688,688,92
689,689,93
690,690,94
691,691,95
692,692,96
693,693,96
694,694,97
695,695,97
696,696,97
697,697,98
698,698,98
699,699,98
700,700,98
701,701,99
702,702,40
703,703,43
704,704,45
705,705,48
706,706,50
707,707,53
708,708,55
709,709,57
710,710,60
711,711,62
712,712,65
713,713,67
714,714,70
715,715,73
716,716,75
717,717,77
718,718,79
719,719,80
720,720,82
721,721,83
722,722,84
723,723,85
724,724,86
725,725,87
726,726,88
727,727,89
728,728,90
729,729,91
730,730,92
731,731,93
732,732,47
733,733,50
734,734,52
735,735,54
736,736,57
737,737,59
738,738,62
739,739,64
740,740,67
741,741,70
742,742,73
743,743,76
744,744,77
745,745,79
746,746,80
747,747,82
748,748,84
749,749,85
750,750,85
751,751,86
752,752,87
753,753,88
754,754,89
755,755,90
756,756,92
757,757,93
758,758,94
759,759,95
760,760,95
761,761,96
762,762,96
763,763,96
764,764,97
765,765,97
766,766,98
767,767,98
768,768,98
769,769,98
770,770,32
771,771,35
772,772,38
773,773,40
774,774,43
775,775,46
776,776,48
777,777,50
778,778,53
779,779,56
780,780,58
781,781,61
782,782,64
783,783,66
784,784,69
785,785,72
786,786,74
787,787,76
788,788,78
789,789,80
790,790,81
791,791,83
792,792,84
793,793,85
794,794,86
795,795,87
796,796,88
797,797,88
798,798,89
799,799,90
800,800,91
801,801,92
802,802,93
803,803,94
804,804,30
805,805,32
806,806,33
807,807,35
808,808,37
809,809,39
810,810,41
811,811,43
812,812,45
813,813,47
814,814,50
815,815,52
816,816,55
817,817,59
818,818,61
819,819,64
820,820,66
821,821,69
822,822,72
823,823,74
824,824,77
825,825,78
826,826,80
827,827,81
828,828,83
829,829,84
830,830,85
831,831,86
832,832,87
833,833,88
834,834,89
835,835,90
836,836,91
837,837,91
838,838,92
839,839,93
840,840,94
841,841,95
842,842,96
843,843,65
844,844,66
845,845,68
846,846,69
847,847,71
848,848,73
849,849,75
850,850,77
851,851,79
852,852,81
853,853,82
854,854,84
855,855,85
856,856,86
857,857,87
858,858,88
859,859,89
860,860,90
861,861,90
862,862,91
863,863,92
864,864,93
865,865,94
866,866,95
867,867,95
868,868,96
869,869,96
870,870,97
871,871,97
872,872,32
873,873,34
874,874,35
875,875,36
876,876,37
877,877,38
878,878,40
879,879,41
880,880,42
881,881,43
882,882,45
883,883,46
884,884,47
885,885,48
886,886,49
887,887,51
888,888,52
889,889,53
890,890,54
891,891,56
892,892,57
893,893,58
894,894,59
895,895,61
896,896,62
897,897,63
898,898,65
899,899,66
900,900,68
901,901,69
902,902,70
903,903,72
904,904,73
905,905,75
906,906,76
907,907,77
908,908,79
909,909,80
910,910,81
911,911,83
912,912,84
913,913,85
914,914,86
915,915,87
916,916,87
917,917,88
918,918,90
919,919,91
920,920,92
921,921,93
922,922,94
923,923,95
924,924,95
925,925,96
926,926,96
927,927,96
928,928,97
929,929,97
930,930,42
931,931,44
932,932,45
933,933,47
934,934,49
935,935,51
936,936,53
937,937,55
938,938,57
939,939,59
940,940,61
941,941,63
942,942,66
943,943,68
944,944,71
945,945,74
946,946,76
947,947,78
948,948,79
949,949,81
950,950,82
951,951,84
952,952,85
953,953,86
954,954,87
