,Mileage (km),SOH
0,25.3,0.9674192960784315
1,51.2,0.9256466627450981
2,71.1,0.9317911071895426
3,71.1,0.9121437359477125
4,88.1,0.9421695215686273
5,88.1,0.9646304078431372
6,106.6,0.9852166287581698
7,106.6,0.9863592568627451
8,114.2,0.977419954248366
9,114.2,0.9854399967320262
10,203.4,0.8978347718954248
11,203.4,0.9184712333333334
12,219.5,0.9526218333333333
13,219.5,0.9386268130718954
14,219.5,0.9393462418300654
15,367.9,0.9865110875816994
16,367.9,0.9803913751633987
17,453.8,0.8902189307189543
18,453.8,0.8801955215686273
19,453.8,0.8794147274509803
20,481.3,0.910693597385621
21,508.3,0.8263678098039215
22,508.3,0.8285187111111111
23,512.4,0.870615419607843
24,512.4,0.8479301503267974
25,532.6,0.9153940790849673
26,532.6,0.9065067581699346
27,619.2,0.7989551156862745
28,627.8,0.9204573490196079
29,627.8,0.914842639869281
30,759.1,0.8977890745098039
31,762.6,0.9668852372549019
32,789.9,0.7864685052287582
33,789.9,0.7486641856209151
34,817.2,0.9121174967320261
35,836.7,0.8355431483660131
36,839.9,0.8766353183006536
37,852.6,0.8789461934640522
38,997.2,0.8535816895424836
39,997.2,0.8911510647058825
40,997.2,0.8543107019607842
41,997.2,0.8567226973856209
42,1017.8,0.9359181071895425
43,1018.1,0.9298623882352942
44,1018.1,0.9239089
45,1018.1,0.9258629562091503
46,1084.1,0.8916919581699347
47,1146.1,0.92803012875817
48,1146.1,0.7912644640522876
49,1146.1,0.9251350908496733
50,1234.1,0.9717155320261438
51,1243.0,0.9098112568627451
52,1356.6,0.9213587496732026
53,1356.6,0.9223066241830065
54,1356.6,0.9110933699346405
55,1362.9,0.9533488405228757
56,1555.2,0.9344684228758169
57,1555.2,0.9365822562091504
58,1555.2,0.937183477124183
59,1563.2,0.8612506385620915
60,1563.2,0.8903183993464052
61,1563.2,0.9311535013071895
62,1619.9,0.8676883856209151
63,1640.8,0.8899096869281046
64,1670.7,0.898656733986928
65,1755.6,0.9687315849673204
66,1831.1,0.8520434960784313
67,1831.1,0.8574518098039215
68,1839.2,0.8637392228758171
69,1859.7,0.9154482071895425
70,1888.9,0.8295168065359477
71,1921.5,0.9802190039215687
72,2123.8,0.7561135941176471
73,2280.3,0.9511164614379086
74,2299.2,0.8758588908496732
75,2329.1,0.8072283862745098
76,2340.4,0.8562933379084968
77,2398.7,0.9745684470588235
78,2425.8,0.9380040222222222
79,2454.5,0.9145928718954248
80,2454.5,0.917686337254902
81,2474.5,0.8832700026143792
82,2614.7,0.8019356235294117
83,2651.5,0.9348005751633987
84,2651.5,0.9620761248366014
85,2652.3,0.8816492405228757
86,2822.2,0.8492353032679738
87,2851.7,0.942570383006536
88,2869.3,0.9041285810457517
89,2869.3,0.8990916790849673
90,2871.9,0.9403952202614378
91,2877.3,0.8755293013071895
92,2886.0,0.8914023222222222
93,2889.8,0.8974797222222223
94,2915.8,0.9611781732026143
95,2936.1,0.9224032065359477
96,3096.0,0.9709775745098038
97,3096.7,0.9100833679738562
98,3106.8,0.853915562745098
99,3106.8,0.8652897568627451
100,3161.2,0.8771394333333333
101,3161.2,0.8900304901960785
102,3189.5,0.9711646836601308
103,3193.1,0.8874247679738563
104,3219.6,0.8522379189542484
105,3242.4,0.9694556437908497
106,3270.6,0.9609311640522875
107,3561.6,0.836749
108,3561.6,0.8381176614379086
109,3764.8,0.971295085620915
110,3764.8,0.950823148366013
111,3769.8,0.860454248366013
112,4021.1,0.9802619660130719
113,4041.4,0.9018185607843138
114,4063.3,0.8553726261437908
115,4073.5,0.9446878869281046
116,4086.2,0.9794857215686275
117,4120.6,0.8782992130718955
118,4125.1,0.8453532307189543
119,4137.1,0.9918000601307191
120,4137.1,0.9688500352941176
121,4138.1,0.9346735006535947
122,4138.1,0.9352946392156863
123,4138.1,0.9274061908496731
124,4272.8,0.929269005882353
125,4328.2,0.8375867568627451
126,4400.6,1.0207615633986928
127,4472.2,0.8595166790849672
128,4472.2,0.862000831372549
129,4485.7,0.8453448176470588
130,4552.0,0.7928106509803922
131,4681.7,0.9706224281045752
132,4681.7,0.9760575307189542
133,4716.6,0.8492018803921569
134,4724.5,0.881733139869281
135,4734.4,1.0425280490196078
136,4734.4,0.9717411614379085
137,4750.5,0.9066425941176471
138,4754.9,0.9464896150326798
139,4762.2,0.9221645045751634
140,4930.9,0.9684235718954247
141,5046.0,0.8573648509803922
142,5099.7,0.8480459477124183
143,5131.4,0.994875222875817
144,5212.5,0.9553304464052287
145,5212.5,0.9578867104575163
146,5312.2,0.885028694117647
147,5314.8,0.8224412751633987
148,5402.8,0.9265118784313725
149,5406.5,0.9107391843137255
150,5604.3,0.9325718535947712
151,5638.0,0.8576383823529412
152,5638.0,0.9157494052287581
153,5638.0,0.9133127934640523
154,5749.0,0.9115814921568627
155,5883.5,0.9496892424836602
156,5891.8,0.8777624869281047
157,5924.8,0.9210397176470588
158,5939.6,0.9089927490196079
159,5954.5,0.9178096647058823
160,6110.7,0.869372685620915
161,6266.7,0.9808844843137255
162,6302.1,0.8999240620915032
163,6379.3,0.9405259967320261
164,6394.4,0.8921080901960785
165,6403.3,0.8892015483660131
166,6520.3,0.9684834647058824
167,6551.4,0.9161453699346405
168,6682.0,0.943833777124183
169,6760.5,0.9159486542483659
170,6762.2,0.8598825947712418
171,6774.0,0.8573220869281046
172,6867.1,0.8924785052287582
173,6920.5,0.9520684411764706
174,6944.7,0.9283918176470588
175,7043.0,0.8425286052287582
176,7164.8,0.8637389640522876
177,7164.8,0.8751677823529412
178,7167.8,0.7849261725490195
179,7272.0,0.8963720751633987
180,7290.9,0.8473999104575164
181,7290.9,0.8549651274509804
182,7318.0,0.9049647300653595
183,7467.8,0.9550996307189543
184,7516.8,0.8918738189542484
185,7516.8,0.8958187477124184
186,7520.2,0.8960516934640523
187,7555.3,0.8584210934640524
188,7565.7,0.9850284921568627
189,7704.5,0.9458519045751634
190,7823.7,0.9112260039215687
191,7874.4,0.9852982352941176
192,7918.8,0.8989832516339868
193,7925.9,0.928641037254902
194,7936.3,0.9811737431372549
195,8146.0,0.9793605784313726
196,8291.6,0.9871678307189542
197,8307.0,0.8486823490196079
198,8436.4,0.8953015359477123
199,8472.7,0.9749524869281047
200,8540.4,0.8823140156862745
201,8543.5,0.8864197529411766
202,8543.5,0.8844363346405228
203,8740.6,0.8763730045751633
204,8764.6,0.9487110411764705
205,8795.0,0.8931284522875818
206,8846.3,0.9722723130718955
207,9090.9,0.9604765483660131
208,9090.9,0.9608476535947713
209,9183.1,0.8484896549019607
210,9237.5,0.8322559039215687
211,9237.5,0.8793694562091503
212,9336.1,0.9380736372549019
213,9336.1,0.9271535274509803
214,9399.5,0.9027922117647059
215,9399.5,0.9018106058823528
216,9442.3,0.9264186895424837
217,9442.3,0.929370997385621
218,9457.1,0.9171157307189542
219,9483.2,0.7854390862745098
220,9491.7,0.9721218006535948
221,9700.8,0.9275567732026143
222,9730.3,0.910537111764706
223,9750.7,0.8610193718954249
224,9754.3,0.9251914568627452
225,9809.1,0.9399576189542485
226,9810.1,0.9168274947712418
227,9828.0,0.951643762745098
228,9904.9,0.9311374954248366
229,9926.5,0.9462896124183007
230,9970.0,0.9782110385620916
231,9970.0,0.9705670888888889
232,9970.0,0.9694614431372549
233,9970.0,0.9757748091503268
234,10081.0,0.9979315352941177
235,10180.6,0.8400995594771242
236,10183.4,0.9070598137254902
237,10253.0,0.9717871777777779
238,10257.0,0.8146503849673203
239,10312.5,0.9598805549019609
240,10405.1,0.8989461098039215
241,10407.2,0.9670175287581699
242,10495.9,0.9408430222222223
243,10562.3,0.8742981052287583
244,10627.2,0.964339445751634
245,10781.8,0.8105944509803922
246,10893.1,0.969467211764706
247,10904.6,0.8856077385620915
248,11128.6,0.8903107843137255
249,11352.0,0.928214320261438
250,11352.0,0.9359598777777777
251,11352.0,0.9298359607843137
252,11355.5,0.8955028869281045
253,11682.8,0.9260430954248366
254,11709.0,0.926241265359477
255,11716.5,0.9072980562091504
256,11738.5,0.9305754450980394
257,11746.1,0.8883648450980391
258,11762.2,0.8737701699346405
259,11975.5,0.9411223986928104
260,11979.7,0.9212754241830066
261,11979.7,0.8425662673202614
262,12056.1,0.8330104379084967
263,12103.8,0.8152903104575163
264,12147.0,0.8618597647058823
265,12147.0,0.8436370032679739
266,12229.9,0.923457114379085
267,12229.9,0.9036991784313726
268,12229.9,0.9232771810457516
269,12292.1,0.909228391503268
270,12292.1,0.9125308058823529
271,12330.2,0.9868770254901962
272,12431.6,0.9410362405228758
273,12431.6,0.9217606084967319
274,12432.5,0.8940746281045752
275,12432.5,0.8895419071895425
276,12432.5,0.8974580163398693
277,12491.7,0.9002336313725491
278,12590.1,0.8655786235294117
279,12616.3,0.9550660575163399
280,12632.8,0.9547562045751634
281,12632.8,1.0717498679738562
282,12656.4,0.9149340790849673
283,12714.7,0.9040927843137255
284,12785.5,0.8854601346405229
285,12828.6,0.9534829862745098
286,12858.9,0.9160832339869281
287,12916.3,1.0148796156862745
288,12925.6,0.8139306045751634
289,12952.4,0.9254527405228758
290,13007.6,0.8561572261437908
291,13042.6,0.8800617392156863
292,13144.5,0.9021579954248367
293,13258.7,0.9181760091503268
294,13421.8,0.9163905529411764
295,13450.9,0.9811850026143791
296,13577.8,0.9669981405228758
297,13666.8,0.8859401797385621
298,13673.0,0.9657936281045751
299,13835.6,0.9191149346405229
300,13844.0,0.9148290751633987
301,13848.3,0.9021780764705883
