,ys,ys_warm_up,ys_est_fixed,ys_est_decay
0,0.8970664290322581,0.8968603225806452,0.9379196774193549,0.9062967741935484
1,0.8848683019354839,0.8698230322580646,0.9076269032258065,0.8680844516129033
2,0.8750107870967743,0.8786723225806452,0.9296303225806453,0.8669452258064516
3,0.9209070793548386,0.907927870967742,0.9334760000000001,0.9173449032258064
4,0.8065039948387096,0.8057827741935484,0.8985413548387097,0.8262235483870968
5,0.8731379716129032,0.844870064516129,0.9153658709677419,0.8638744516129032
6,0.8642321490322581,0.8182532258064517,0.9572590322580644,0.8508255483870968
7,0.8801809638709677,0.8849912903225807,0.9534298064516129,0.8774047741935483
8,0.8569900148387097,0.849197806451613,0.9157265806451613,0.8453968387096774
9,0.8625842593548388,0.8953913548387097,0.9064241290322581,0.8911232903225806
10,0.8649330825806453,0.8665767741935484,0.9201296774193549,0.8735525806451614
11,0.9388439909677421,0.9040249032258065,0.9242598064516129,0.9120876129032258
12,0.9005615606451614,0.8989462580645161,0.9200976774193548,0.9217167096774195
13,0.8748842503225807,0.8193191612903227,0.8674442580645161,0.8380980645161291
14,0.8516052335483871,0.8507044516129033,0.9109621935483871,0.863870129032258
15,0.8572221219354839,0.8680952258064515,0.899038064516129,0.8624589677419355
16,0.9159353922580644,0.9098134838709676,0.9156357419354839,0.9140736129032258
17,0.8645522206451612,0.8522385161290322,0.9187516129032258,0.8595854838709677
18,0.8968990148387096,0.8852187741935484,0.903112,0.9007712903225806
19,0.8733848399999999,0.8675,0.9178793548387096,0.8512912903225807
20,0.8927892367741936,0.8720871612903225,0.887104064516129,0.8838876129032258
21,0.9976254270967742,0.9832241935483872,0.9478823870967743,0.9722696774193548
22,0.9123376451612905,0.8834810322580645,0.9299027741935484,0.8862869677419355
23,0.8909747270967743,0.8777363225806452,0.9150980645161291,0.8771237419354839
24,0.8630668974193548,0.8726136129032258,0.906218064516129,0.8646525806451614
25,0.9410475651612903,0.9709911612903225,0.9223651612903225,0.9708294193548386
26,0.8702731212903225,0.8808447096774195,0.8983990967741935,0.8851150322580644
27,0.9008050625806451,0.8909427096774194,0.9350678709677419,0.8814540645161291
28,0.8940360058064516,0.8876118064516129,0.9274680000000001,0.8632930322580644
29,0.8400642232258064,0.8795687741935483,0.9122193548387098,0.8868773548387097
30,0.8478124335483871,0.8497796774193548,0.9359092258064516,0.8598462580645162
31,0.8910507993548388,0.9355445161290322,0.9429207096774195,0.9228762580645161
32,0.8986925296774194,0.8636346451612903,0.8976612903225806,0.8720016774193547
33,0.8368173612903226,0.8425801935483871,0.9317898709677418,0.8358438064516129
34,0.9135587045161291,0.8663749677419355,0.9065283870967742,0.8696109032258065
35,0.8979627116129032,0.9016924516129031,0.935294193548387,0.9170965161290322
36,0.8519424625806451,0.852772064516129,0.9236585806451613,0.8562794193548386
37,0.8702421941935483,0.8120873548387098,0.934578064516129,0.8103969032258065
38,0.8682071161290322,0.8644834193548387,0.9010407741935483,0.8643152258064517
39,0.9240858109677419,0.8707223225806452,0.9096934838709677,0.8816433548387097
40,0.8115215090322581,0.8673662580645161,0.9028905806451613,0.8459845161290322
41,0.88478482,0.8705412903225807,0.9216513548387097,0.8606234838709677
42,0.793421526451613,0.8688279354838709,0.9326107741935483,0.8807663225806451
43,0.9098669232258063,0.9227781935483871,0.9462950967741934,0.9328891612903226
44,1.02941538,0.8883563870967742,0.9464150967741937,0.8949083870967742
45,0.8272596683870966,0.8026643870967742,0.9090688387096774,0.8168321677419355
46,0.852691649032258,0.884845806451613,0.9337386451612903,0.883415870967742
47,0.8129020103225807,0.8392874193548387,0.8476212258064516,0.8420036774193549
48,0.9263039851612903,0.9187669032258065,0.9173961290322581,0.9137456774193549
49,0.8204562587096773,0.8266043225806452,0.9406234193548386,0.834033870967742
50,0.8035740793548387,0.8096143870967741,0.8835420645161289,0.8102279677419355
51,0.94893134,0.9329643225806451,0.9290873548387097,0.9324336774193548
52,0.7884669025806451,0.8294407096774193,0.9447818064516129,0.8541202580645162
53,0.8265671193548387,0.8452899354838709,0.924026064516129,0.8466083225806451
54,0.9532807509677419,0.9190192258064516,0.9297441935483872,0.9082809032258063
55,0.8375569019354838,0.8616495483870967,0.9207062580645162,0.8379801935483872
56,0.9490674451612904,0.9321043870967742,0.9219142580645162,0.9387047741935483
57,0.9025747103225806,0.9026903225806452,0.938473677419355,0.8910833548387097
