,Voltage (V),Current (A)
289,4.193,-49.2
290,4.194,-49.1
291,4.196,-49.1
292,4.197,-49.1
293,4.198,-49.1
294,4.199,-49.1
295,4.201,-49.1
296,4.202,-49.1
297,4.203,-49.1
298,4.204,-49.2
299,4.206,-49.1
300,4.207,-49.1
301,4.208,-49.1
302,4.209,-49.2
303,4.211,-49.1
304,4.212,-49.1
305,4.213,-49.1
306,4.215,-49.1
307,4.216,-49.1
308,4.217,-49.1
309,4.218,-49.1
310,4.219,-49.1
311,4.221,-49.1
312,4.222,-49.1
313,4.223,-49.1
314,4.224,-49.1
315,4.226,-49.1
316,4.227,-49.1
317,4.228,-49.1
318,4.23,-49.1
319,4.231,-49.1
320,4.232,-49.1
321,4.234,-49.1
322,4.235,-49.1
323,4.236,-49.1
324,4.237,-49.1
325,4.239,-49.1
326,4.24,-49.1
327,4.241,-49.1
328,4.243,-49.1
329,4.244,-49.1
330,4.245,-49.1
331,4.246,-49.1
332,4.248,-49.1
333,4.249,-49.1
