,mileage,ave_Tem,mean_Q,median_Q,std_Q,delta_Q,mean_dV,median_dV,std_dV,delta_dV,mean_current,max_current,cha_end_v,t_min,t_min_mean
733,0.036832414494231046,0.3913523618881649,0.30503701350956225,0.40473748593185177,0.14581720830329536,0.07667946198229632,0.1304823063055062,0.1294642857142857,0.063761965133256,0.09756097560975611,0.6217298453961267,0.4470377019748654,0.31746031746031633,0.3870967741935484,0.37033707005209054
734,0.04466151020713109,0.3497278704513128,0.2603375813436774,0.3440673748965186,0.1426812000002866,0.06838581924888347,0.15277711101243344,0.1517857142857143,0.0887018305748869,0.14634146341463417,0.6160426642908811,0.4479353680430879,0.31746031746031633,0.29032258064516125,0.2843255312191329
735,0.04466151020713109,0.3500848435784294,0.2603375813436774,0.3440673748965186,0.1426812000002866,0.06838581924888347,0.15277711101243344,0.1517857142857143,0.0887018305748869,0.14634146341463417,0.6160426642908811,0.4479353680430879,0.31746031746031633,0.29032258064516125,0.2843255312191329
736,0.049607678216716446,0.2934001406697566,0.31542366744564787,0.4161698374550753,0.15053614773930984,0.08178145206974384,0.20940821563055065,0.20535714285714285,0.14591061535491967,0.1951219512195122,0.9701201282271114,0.7100538599640933,0.31746031746031633,0.4516129032258064,0.46197670306876254
737,0.050137938253926706,0.28661080125475835,0.3125282569464437,0.4116679548391186,0.15193578571433392,0.08255861269239634,0.21589275142095918,0.2142857142857143,0.1548340159406578,0.2439024390243903,0.9718532072050111,0.7109515260323158,0.31746031746031633,0.4838709677419354,0.483608885958328
738,0.05403065061429459,0.3342960871620384,0.23709764598929364,0.30339633353573137,0.12206099806635011,0.07551821197346878,0.20283557468916522,0.2142857142857143,0.2548763118954551,0.2682926829268293,0.8820085751718697,0.7100538599640933,0.31746031746031633,0.4193548387096774,0.41736032541287
739,0.05465959853085645,0.3851063927508942,0.31530555918781183,0.41514981886537805,0.15112349649148688,0.0828548247035645,0.2201217965364121,0.2232142857142857,0.16068426297013552,0.2439024390243903,0.9724560180582692,0.7127468581687613,0.3015873015873183,0.5483870967741935,0.5371742917185822
740,0.057103675577618446,0.5311387976912771,0.2997936103742435,0.3983932240479974,0.14619303793234062,0.07580291339059508,0.1646356543516874,0.1607142857142857,0.07984331449803225,0.12195121951219513,0.6185849289906561,0.4443447037701976,0.3015873015873183,0.4193548387096774,0.39684544629497637
741,0.06707179361260363,0.26157403442529636,0.30198867240957866,0.4012683680323186,0.14680413831373884,0.07634497581486688,0.19037929715808175,0.1875,0.08927599741337591,0.09756097560975611,0.6187952449273219,0.4443447037701976,0.31746031746031633,0.3870967741935484,0.37466561310709795
742,0.06707179361260363,0.4735298533147557,0.30198867240957866,0.4012683680323186,0.14680413831373884,0.07634497581486688,0.19037929715808175,0.1875,0.08927599741337591,0.09756097560975611,0.6187952449273219,0.4443447037701976,0.31746031746031633,0.3870967741935484,0.37466561310709795
