,Increment capacity(Ah),Temperature(℃)
0,0.0,30.0
1,1.162023111886225,30.0
2,1.2932138152556223,30.0
3,1.4242935767288605,30.0
4,1.555230981688858,30.0
5,1.6859018320626256,30.0
6,1.8160693699274264,30.0
7,1.9461479756679023,30.0
8,2.075957653111791,30.0
9,2.20571738397132,30.06
10,2.335182611049469,30.23333333333333
11,2.464635946592421,30.406666666666663
12,2.593769935735301,30.58
13,2.722903924878243,30.75333333333333
14,2.8519861992754136,30.926666666666662
15,2.9810640613461987,31.0
16,3.109896625421586,31.0
17,3.2386684960717105,31.0
18,3.3668886901468293,31.0
19,3.4948455273586005,31.0
20,3.62279179286525,31.0
21,3.750729312262852,31.0
22,3.8785025915011,31.0
23,4.006042399612519,31.0
24,4.133618809255945,31.0
25,4.261292103383559,31.0
26,4.388848563666692,31.0
27,4.515630953797063,31.0
28,4.642413343927496,31.0
29,4.769095580942595,31.0
30,4.895776187344936,31.0
31,5.022166712323238,31.0
32,5.14849904015017,31.0
33,5.27486521064073,31.0
34,5.4012474472679655,31.0
35,5.527460851678248,31.0
36,5.65351824526045,31.0
37,5.779693266652796,31.0
38,5.906079210262475,31.0
39,6.032382045190393,31.0
40,6.158337675730996,31.0
41,6.284292436220079,31.0
42,6.410213628933187,31.0
43,6.536134821646358,31.0
44,6.661598972882282,31.0
45,6.786985360574212,31.0
46,6.912624439261213,31.0
47,7.0383817155292405,31.0
48,7.1641381020431565,31.0
49,7.289893618528067,31.0
50,7.415526833640607,31.0
51,7.540909089896102,31.0
52,7.666313107277343,31.0
53,7.791842739716055,31.0
54,7.917372372154765,31.0
55,8.042563014897825,31.0
56,8.167741650237641,31.0
57,8.292853366026595,31.0
58,8.41794645322899,31.0
59,8.543222515755701,31.0
60,8.668621989121839,31.0
61,8.793734210488115,31.0
62,8.918434533485327,31.0
63,9.04323639285624,31.0
64,9.168391236542032,31.0
65,9.293540145303812,31.0
66,9.418525380779696,31.0
67,9.54351061625558,31.0
68,9.668468780416353,31.0
69,9.793422010819048,31.0
70,9.91836123258028,31.0
71,10.04329311278316,31.0
72,10.168279109902356,31.0
73,10.293327107390391,31.0
74,10.418235182736408,31.0
75,10.542775818568144,31.0
76,10.667349893320225,31.0
77,10.79228157022298,31.0
78,10.917213247125735,31.0
79,11.0418231501249,31.0
80,11.166395474396442,31.0
81,11.291079767199047,31.0
82,11.415810751739809,31.0
83,11.54069480051044,31.0
84,11.665722101469669,31.0
85,11.790641861544575,31.0
86,11.915341439602992,31.0
87,12.040085729657722,31.0
88,12.165103166530796,31.0
89,12.290120603403873,31.0
90,12.414845309194396,31.1
91,12.53955599798878,31.273333333333333
92,12.664038613812147,31.446666666666665
93,12.788452814093535,31.5
94,12.913519541068698,31.5
95,13.03904787491892,31.5
96,13.16446519348408,31.5
97,13.289718595382906,31.5
98,13.415055461729462,31.5
99,13.5406818610882,31.5
100,13.666302482348616,31.5
101,13.79180270077148,31.5
102,13.917302919194285,31.5
103,14.042803137617147,31.5
104,14.168303356040012,31.5
105,14.293803574462874,31.5
106,14.41930379288574,31.5
107,14.544804011308605,31.5
108,14.670304229731467,31.5
109,14.79580444815427,31.5
110,14.921304666577134,31.566666666666663
111,15.046804884999997,31.74
112,15.17230510342286,31.91333333333333
113,15.297805321845726,32.0
114,15.42330554026859,32.0
115,15.548805758691453,32.0
116,15.674305977114315,32.0
117,15.79980619553712,32.0
118,15.925306413959984,32.0
119,16.050806632382848,32.0
120,16.176306850805712,32.0
121,16.301807069228577,32.0
122,16.427307287651438,32.0
123,16.552807506074302,32.0
124,16.678307724497106,32.0
125,16.80380794291997,32.0
126,16.929308161342835,32.0
127,17.054808379765696,32.0
128,17.18030859818856,32.0
129,17.305808816611425,32.0
130,17.43130903503429,32.0
131,17.556809253457153,32.0
132,17.682309471879954,32.0
133,17.80780969030282,32.0
134,17.933309908725683,32.0
135,18.058810127148547,32.0
136,18.18431034557141,32.0
137,18.30981056399428,32.0
138,18.43531078241714,32.0
139,18.560811000840005,32.0
140,18.686311219262805,32.0
141,18.81181143768567,32.0
142,18.93731165610853,32.0
143,19.0628118745314,32.0
144,19.188312092954263,32.0
145,19.313812311377127,32.0
146,19.43931252979999,32.0
147,19.564812748222792,32.0
148,19.690312966645656,32.0
149,19.81581318506852,32.0
150,19.941313403491385,32.0
