,Max cell voltage (V),Min cell voltage (V),Cell voltage range (V)
274,4.175,4.132,0.04300000000000015
275,4.176,4.133,0.04300000000000015
276,4.177,4.134,0.04299999999999926
277,4.178,4.135,0.04300000000000015
278,4.18,4.136,0.043999999999999595
279,4.181,4.137,0.04400000000000048
280,4.182,4.139,0.04300000000000015
281,4.183,4.14,0.04300000000000015
282,4.185,4.141,0.043999999999999595
283,4.186,4.142,0.043999999999999595
284,4.187,4.144,0.04300000000000015
285,4.188,4.145,0.04300000000000015
286,4.19,4.146,0.04400000000000048
287,4.191,4.148,0.04300000000000015
288,4.192,4.149,0.04300000000000015
289,4.193,4.15,0.04299999999999926
290,4.194,4.151,0.04300000000000015
291,4.196,4.152,0.043999999999999595
292,4.197,4.154,0.04300000000000015
293,4.198,4.154,0.04400000000000048
294,4.199,4.156,0.04300000000000015
295,4.201,4.157,0.043999999999999595
296,4.202,4.158,0.043999999999999595
297,4.203,4.159,0.04400000000000048
298,4.204,4.16,0.043999999999999595
299,4.206,4.162,0.04400000000000048
300,4.207,4.163,0.043999999999999595
301,4.208,4.164,0.04400000000000048
302,4.209,4.165,0.043999999999999595
303,4.211,4.167,0.04400000000000048
304,4.212,4.168,0.043999999999999595
305,4.213,4.169,0.04400000000000048
306,4.215,4.171,0.043999999999999595
307,4.216,4.171,0.04499999999999993
308,4.217,4.173,0.043999999999999595
309,4.218,4.174,0.043999999999999595
310,4.219,4.175,0.04400000000000048
311,4.221,4.176,0.04499999999999993
312,4.222,4.178,0.04400000000000048
313,4.223,4.179,0.043999999999999595
314,4.224,4.18,0.04400000000000048
315,4.226,4.182,0.043999999999999595
316,4.227,4.183,0.04400000000000048
317,4.228,4.184,0.043999999999999595
318,4.23,4.186,0.04400000000000048
319,4.231,4.187,0.043999999999999595
320,4.232,4.188,0.04400000000000048
321,4.234,4.189,0.04499999999999993
322,4.235,4.19,0.04499999999999993
323,4.236,4.192,0.043999999999999595
324,4.237,4.193,0.04400000000000048
325,4.239,4.194,0.04499999999999993
326,4.24,4.195,0.04499999999999993
327,4.241,4.196,0.04499999999999993
328,4.243,4.198,0.04499999999999993
329,4.244,4.199,0.04499999999999993
330,4.245,4.2,0.04499999999999993
331,4.246,4.201,0.04500000000000082
332,4.248,4.202,0.04600000000000026
333,4.249,4.204,0.04499999999999993
